Offset(P)            #Ptr   #Hnd Access Name
0x000000001d97d1e8      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d97dda8      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance\Desktop.ini
0x000000001d97f680      1      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\cmd.exe.mui
0x000000001d97fd60      1      0 RW-rwd \Device\HarddiskVolume1\$PrepareToShrinkFileSize
0x000000001d97feb0      2      1 R--rwd \Device\HarddiskVolume1\Users\John Doe\AppData\Local\Microsoft\Windows\WER\ReportArchive
0x000000001d980390     10      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\urlmon.dll.mui
0x000000001d981038      2      1 R--rwd \Device\HarddiskVolume1\Users\John Doe\Documents
0x000000001d9815c8      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\ssdpsrv.dll
0x000000001d981738      2      1 R--rw- \Device\HarddiskVolume1\Windows\Tasks
0x000000001d981bd0      4      0 R--rwd \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\URE\bin\jvmfwk3.dll
0x000000001d982418      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\KernelBase.dll.mui
0x000000001d982a10      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x000000001d982f80      8      0 R--rwd \Device\HarddiskVolume1\Users\John Doe\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Startup\desktop.ini
0x000000001d983290      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Windows PowerShell Modules.lnk
0x000000001d983600      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\msra.exe
0x000000001d983878      8      0 R--r-- \Device\HarddiskVolume1\Users\John Doe\AppData\Roaming\Microsoft\Windows\Start Menu\Programs\Accessories\Command Prompt.lnk
0x000000001d984038      6      0 R--rwd \Device\HarddiskVolume1က
0x000000001d984328      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\msisip.dll
0x000000001d9844c8      8      0 R--rwd \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\basegfxlo.dll
0x000000001d984770      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d9848f0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d985908      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x000000001d9865f8      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d9866b0      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\Wpc.dll
0x000000001d987038      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Component Services.lnk
0x000000001d987430      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\icardres.dll
0x000000001d987830      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d988090      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\netprofm.dll
0x000000001d988bd8      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d999198      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\System Restore.lnk
0x000000001d999380      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\apss.dll
0x000000001d9996e0      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\notepad.exe
0x000000001d99a698      8      0 R--r-- \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\NetworkProjection.lnk
0x000000001d99ac68      3      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wshext.dll
0x000000001d99c278      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001d99c858      6      0 R--rwd \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\URE\bin\cppuhelper3MSC.dll
0x000000001d99d828      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\stdole2.tlb
0x000000001d99dbb0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\spool\drivers\w32x86\3\TPPRN.DLL
0x000000001d99de20      3      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\URE\bin\invocation.uno.dll
0x000000001d99e248      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\taskcomp.dll
0x000000001d99e898      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Maintenance\Backup and Restore Center.lnk
0x000000001d9a0f30      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\ieuinit.inf
0x000000001d9a1110      1      1 RW-r-- \Device\HarddiskVolume1\Users\John Doe\AppData\Roaming\LibreOffice\3\user\extensions\bundled\registry\com.sun.star.comp.deployment.component.PackageRegistryBackend\Windows_x86.rdb
0x000000001d9a1610      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x000000001d9a1c80      7      0 R--rwd \Device\HarddiskVolume1\Windows\explorer.exe
0x000000001d9a2d60      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\shdocvw.dll
0x000000001d9a6218      8      0 R--r-- \Device\HarddiskVolume1\Windows\Fonts\arialbd.ttf
0x000000001d9a6350      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\wsnmp32.dll
0x000000001d9a66f8     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-NetworkAccessProtection%4WHC.evtx
0x000000001d9b9038      1      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\conhost.exe.mui
0x000000001d9b9320     10      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d9b9848     10      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001d9c72b0      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\dwmcore.dll
0x000000001d9c7480      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\dwm.exe
0x000000001d9c7578      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\MsCtfMonitor.dll
0x000000001d9c79b8      8      0 RW-rw- \Device\HarddiskVolume1\Users\John Doe\AppData\Local\VMware\hgfs.dat
0x000000001d9c7ab8      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\msxml6r.dll
0x000000001d9ee620      7      0 R--rwd \Device\HarddiskVolume1\Windows\explorer.exe
0x000000001d9ee8d0      1      1 RWDrwd \Device\HarddiskVolume1\Users\JOHNDO~1\AppData\Local\Temp\~DFF1B534C385588A33.TMP
0x000000001d9eec28      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\ktmw32.dll
0x000000001d9f0130      1      1 RW-rwd \Device\HarddiskVolume1\Users\John Doe\AppData\Roaming\LibreOffice\3\user\extensions\shared\extensions.db
0x000000001d9f01e8      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\FXSRESM.dll
0x000000001d9f0460      9      0 R--r-- \Device\HarddiskVolume1\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb
0x000000001d9f0590      5      0 R--rwd \Device\HarddiskVolume1\Windows\System32\localspl.dll
0x000000001d9fde50      1      1 ------ \Device\NamedPipe\atsvc
0x000000001dbc8240      1      1 ------ \Device\Afd\Endpoint
0x000000001dbc8940      3      1 ------ \Device\NamedPipe\aswUpdSv
0x000000001dbc9760     10      1 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\ddraw.dll.mui
0x000000001dbcb038      8      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\URE\bin\msci_uno.dll
0x000000001dbcb7b0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\sfc.dll
0x000000001dbcbab8      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\perfdisk.dll
0x000000001de001e0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\version.dll
0x000000001de03850      2      1 RW-rw- \Device\clfs\Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\NTUSER.DAT{6cced2f1-6e01-11de-8bed-001e0bcd1824}.TM
0x000000001de05770      1      1 ------ \Device\NamedPipe\LSM_API_service
0x000000001de05828      2      1 ------ \Device\NamedPipe\LSM_API_service
0x000000001de05998      1      1 ------ \Device\NamedPipe\LSM_API_service
0x000000001de05b48      1      1 RW---- \Device\HarddiskVolume1\Windows\System32\catroot2\{F750E6C3-38EE-11D1-85E5-00C04FC295EE}\catdb
0x000000001de05df0     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001de061f0      1      1 RW---- \Device\HarddiskVolume1\Windows\System32\catroot2\{127D0A1D-4EF2-11D1-8608-00C04FC295EE}\catdb
0x000000001de06668      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001de07270      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\Accessibility\Speech Recognition.lnk
0x000000001de07910      1      1 RW---- \Device\HarddiskVolume1\Windows\System32\catroot2\edb.log
0x000000001de08ae0      3      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\VMwareResolutionSet.exe
0x000000001de0a670      4      0 R--rwd \Device\HarddiskVolume1\Windows\System32\msoert2.dll
0x000000001de0ab68      1      0 RW-rwd \Device\HarddiskVolume1\$PrepareToShrinkFileSize
0x000000001de0ac98      6      0 R--r-d \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc\comctl32.dll
0x000000001de0c798      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Accessories\System Tools\Windows Easy Transfer Reports.lnk
0x000000001de1b2f8      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\desktop.ini
0x000000001de1b7c8     10      1 R--r-- \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\resource\editengen-US.res
0x000000001de1bf80     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Kernel-WHEA%4Errors.evtx
0x000000001de1d2b0      3      0 R--rwd \Device\HarddiskVolume1\Windows\System32\iedkcs32.dll
0x000000001de1e5c8      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001de20358      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\pnidui.dll
0x000000001de24888      7      0 R--r-d \Device\HarddiskVolume1\Program Files\Common Files\microsoft shared\ink\mip.exe
0x000000001de26f18      8      0 R--rwd \Device\HarddiskVolume1\ProgramData\Microsoft\Windows\Start Menu\Programs\Administrative Tools\Event Viewer.lnk
0x000000001de36a58      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wevtsvc.dll
0x000000001de3cf80      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\ACCTRES.dll
0x000000001de3e9e8      9      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001de3ef80      6      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\program\swlo.dll
0x000000001de473a8      1      1 ------ \Device\NamedPipe\eventlog
0x000000001de475e8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\tzres.dll
0x000000001de47828      1      1 -W---- \Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\AppData\Local\lastalive1.dat
0x000000001de47a88      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\authui.dll
0x000000001de47e20      5      0 R--r-d \Device\HarddiskVolume1\Program Files\LibreOffice 3.6\URE\bin\stocservices.uno.dll
0x000000001de4ec48      1      1 ------ \Device\NamedPipe\eventlog
0x000000001de4ed00      2      1 ------ \Device\NamedPipe\eventlog
0x000000001de4f330      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-340-0
0x000000001de4f618      1      1 RW---- \Device\HarddiskVolume1\Users\John Doe\AppData\Local\Microsoft\Windows\UsrClass.dat.LOG1
0x000000001de51de0      2      1 ------ \Device\Afd\Endpoint
0x000000001de52eb8      1      1 -W---- \Device\HarddiskVolume1\Windows\ServiceProfiles\LocalService\AppData\Local\lastalive0.dat
0x000000001de5b8a0      2      1 ------ \Device\Afd\Endpoint
0x000000001de5baf8      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001de66dc8     14      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\System.evtx
0x000000001de66e80      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\audiosrv.dll
0x000000001de67690      2      1 ------ \Device\Afd\Endpoint
0x000000001de68de0      2      1 ------ \Device\Afd\Endpoint
0x000000001de69370      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\avrt.dll
0x000000001de6ad08      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\MMDevAPI.dll
0x000000001de6c270      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001de6e410     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\HardwareEvents.evtx
0x000000001de6e698     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Internet Explorer.evtx
0x000000001de6f4f8      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msacm32.dll
0x000000001de6f730     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001de6fce8      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mmcss.dll
0x000000001de704e8      3      0 R--r-d \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc80.crt_1fc8b3b9a1e18e3b_8.0.50727.4927_none_d08a205e442db5b5\msvcr80.dll
0x000000001de70c98     16      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Security.evtx
0x000000001de71038     16      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Application.evtx
0x000000001de71438     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Windows PowerShell.evtx
0x000000001de715c0      1      0 RW-rwd \Device\HarddiskVolume1\$PrepareToShrinkFileSize
0x000000001de71860      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\cryptui.dll
0x000000001de71968     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Key Management Service.evtx
0x000000001de72680     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Media Center.evtx
0x000000001de72a68      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\propsys.dll
0x000000001de74990      2      1 ------ \Device\Afd\Endpoint
0x000000001de75ac8      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\advapi32.dll
0x000000001de75dd8      7      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\TPAutoConnSvc.exe
0x000000001de76298      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wkssvc.dll
0x000000001de77138      3      0 R--r-d \Device\HarddiskVolume1\Program Files\VMware\VMware Tools\plugins\vmsvc\hgfsServer.dll
0x000000001de78038      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\autoplay.dll
0x000000001de78268      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\msxml3.dll
0x000000001de788b0      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\samlib.dll
0x000000001de78968      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\shacct.dll
0x000000001de79320      2      0 R--r-d \Device\HarddiskVolume1\Windows\System32\nsisvc.dll
0x000000001de79990      3      0 R--rwd \Device\HarddiskVolume1\Windows\System32\SyncCenter.dll
0x000000001de79a58      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\tsgqec.dll
0x000000001de79ec8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wbem\wbemess.dll
0x000000001de7a038      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\audiodg.exe
0x000000001de7a198      7      0 R--r-d \Device\HarddiskVolume1\Program Files\DVD Maker\DVDMaker.exe
0x000000001de7c9a0      2      1 ------ \Device\Afd\Endpoint
0x000000001de7da00      1      1 RW-rwd \Device\HarddiskVolume1\Windows\CSC\v2.0.6\temp
0x000000001de878f8      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\AUDIOKSE.dll
0x000000001de89a50      1      1 ------ \Device\NTPNP_PCI0042\topology
0x000000001de89c78     11      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Kernel-WHEA%4Operational.evtx
0x000000001de8a6e8      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\nlaapi.dll
0x000000001de8aa78      4      0 RW-rwd \Device\HarddiskVolume1\$MapAttributeValue
0x000000001de8ae80      4      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001de8af80      1      1 R--rw- \Device\HarddiskVolume1\Windows\CSC
0x000000001de8c8e8      3      1 R--rwd \Device\Mup\.\.
0x000000001de8cb20      1      1 R--rwd \Device\HarddiskVolume1ꈛ
0x000000001de8cd68      1      1 R--rw- \Device\HarddiskVolume1\Windows\CSC\v2.0.6\namespace
0x000000001de8ce20      4      1 RW-rwd \Device\HarddiskVolume1\Windows\CSC\v2.0.6\pq
0x000000001de8dc80      1      1 R--rwd \Device\HarddiskVolume1ꈠ
0x000000001de8dec8      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\taskschd.dll
0x000000001de8eec8      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\imageres.dll
0x000000001de8f208      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\slc.dll
0x000000001de8f5f0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\lmhsvc.dll
0x000000001de8f858      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\profsvc.dll
0x000000001de8fec8      3      0 R--rwd \Device\HarddiskVolume1\Program Files\AVAST Software\Avast\aswUtil.dll
0x000000001de8ff80      7      0 R--r-d \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.gdiplus_6595b64144ccf1df_1.1.7600.16385_none_72fc7cbf861225ca\GdiPlus.dll
0x000000001de90398      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\themeservice.dll
0x000000001de909f8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\atl.dll
0x000000001de91038      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mstask.dll
0x000000001de94e00      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001de96638      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dsrole.dll
0x000000001de967a8      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001de99318      8      0 R--rwd \Device\HarddiskVolume1\Program Files\Internet Explorer\en-US\iexplore.exe.mui
0x000000001de99668      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\Sens.dll
0x000000001de9ab18      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wtsapi32.dll
0x000000001de9abd0      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\uxsms.dll
0x000000001de9c690      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\winnsi.dll
0x000000001de9eaf0      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dui70.dll
0x000000001de9f2a0      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.windows.common-controls_6595b64144ccf1df_6.0.7600.16385_none_421189da2b7fabfc
0x000000001de9fc98      6      0 R--rwd \Device\HarddiskVolume1\Windows\System32\main.cpl
0x000000001dea2038     17      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-OfflineFiles%4Operational.evtx
0x000000001dea2360      3      1 R--rwd \Device\HarddiskVolume1\Windows\System32\drivers\etc
0x000000001dea4418      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dhcpcsvc6.dll
0x000000001dea5038      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\SndVolSSO.dll
0x000000001dea55e8      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dhcpcsvc.dll
0x000000001dea5e08      2      1 ------ \Device\Afd\Endpoint
0x000000001dea6ad0      5      0 R--r-d \Device\HarddiskVolume1\Program Files\AVAST Software\Avast\AvastSvc.exe
0x000000001dea6b88      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wdmaud.drv
0x000000001dea75f8     11      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-BranchCacheSMB%4Operational.evtx
0x000000001dea7f80      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\ksuser.dll
0x000000001dea8608      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\msacm32.drv
0x000000001deac138      8      0 R--rwd \Device\HarddiskVolume1\Windows\System32\EhStorShell.dll
0x000000001deac648      8      0 R--rwd \Device\HarddiskVolume1\Windows\win.ini
0x000000001deacd58      1      1 ------ \Device\Afd\AsyncConnectHlp
0x000000001dead350      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\IPHLPAPI.DLL
0x000000001dead408      6      0 R--r-d \Device\HarddiskVolume1\Windows\System32\duser.dll
0x000000001deaea58      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\nrpsrv.dll
0x000000001deb0e10     16      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-GroupPolicy%4Operational.evtx
0x000000001deb0ec8      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dhcpcore6.dll
0x000000001deb2c38      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dhcpcore.dll
0x000000001deb45d8      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dnsrslvr.dll
0x000000001deb4908      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001deb5828     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-User Profile Service%4Operational.evtx
0x000000001deb5b18      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dnsext.dll
0x000000001deb5bd0      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\winmm.dll
0x000000001deb6468      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\FWPUCLNT.DLL
0x000000001deb8038      1      1 ------ \Device\Afd\Endpoint
0x000000001deb8988      1      1 ------ \Device\Afd\Endpoint
0x000000001deb9278      6      0 R--r-d \Device\HarddiskVolume1\Program Files\AVAST Software\Avast\aswCmnOS.dll
0x000000001deb9638      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\MMDevAPI.dll.mui
0x000000001deb9e38     10      1 RW-r-- \Device\HarddiskVolume1\Windows\System32\winevt\Logs\Microsoft-Windows-Dhcpv6-Client%4Admin.evtx
0x000000001deba7b0      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\AudioSes.dll
0x000000001debaa88      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\hid.dll
0x000000001debcc98      8      0 R--r-d \Device\HarddiskVolume1\Windows\System32\en-US\wdmaud.drv.mui
0x000000001debd8b0     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001debdd80      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\dwmapi.dll
0x000000001debdf80      4      0 R--r-d \Device\HarddiskVolume1\Program Files\AVAST Software\Avast\aswCmnBS.dll
0x000000001debe4f8      3      0 R--r-d \Device\HarddiskVolume1\Windows\System32\midimap.dll
0x000000001debe890      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001debe948      4      0 R--r-d \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57\msvcr90.dll
0x000000001dec0038      2      1 ------ \Device\Afd\Endpoint
0x000000001dec0a90      2      1 ------ \Device\NamedPipe\Winsock2\CatalogChangeListener-240-0
0x000000001dec0e10      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001dec0f80      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\wsock32.dll
0x000000001dec9268      5      0 R--r-d \Device\HarddiskVolume1\Windows\System32\mydocs.dll
0x000000001dec94c8      4      0 R--r-d \Device\HarddiskVolume1\Windows\System32\AudioEng.dll
0x000000001decbd58      6      0 R--r-d \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57\msvcp90.dll
0x000000001decbf80      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001ded4730      2      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001ded6900      1      1 R--rw- \Device\HarddiskVolume1\Windows\System32
0x000000001ded7980      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001ded8f00      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001dedb038      7      0 R--rwd \Device\HarddiskVolume1\Windows\System32\mmres.dll
0x000000001dedbb20     10      1 R--rw- \Device\HarddiskVolume1\Users\John Doe\AppData\Local\Microsoft\Feeds\FeedsStore.feedsdb-ms
0x000000001dedbed8      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001dee31c0      8      0 R--r-d \Device\HarddiskVolume1\Program Files\AVAST Software\Avast\aswCmnIS.dll
0x000000001dee34a0      3      1 ------ \Device\Afd\Endpoint
0x000000001dee3bf0     17      0 RW-rwd \Device\HarddiskVolume1\$Directory
0x000000001dee3e20      7      0 R--r-d \Device\HarddiskVolume1\Windows\System32\xmllite.dll
0x000000001dee4f80      1      1 R--rw- \Device\HarddiskVolume1\Windows\winsxs\x86_microsoft.vc90.crt_1fc8b3b9a1e18e3b_9.0.30729.6161_none_50934f2ebcb7eb57
0x000000001dee5f80      6      0 R--r-d \Device\HarddiskVolume1\Program Files\AVAST Software\Avast\AhResJs.dll
